,Feature1,Feature2,Feature3,Feature4,Target
170,0.00762,0.00224,0.69,0.998,0
171,0.00695,0.00179,0.645,0.999,2
172,0.00787,0.00226,0.682,0.998,0
173,0.00776,0.00216,0.671,0.998,0
174,0.00843,0.00145,0.529,0.991,1
175,0.00646,0.00139,0.591,0.993,2
176,0.00805,0.00203,0.639,0.996,0
177,0.00668,0.0016,0.623,0.996,2
178,0.00767,0.00226,0.691,0.999,0
179,0.00743,0.00178,0.623,0.996,0
180,0.00747,0.00156,0.581,0.995,2
181,0.00673,0.00171,0.642,0.998,2
182,0.00841,0.00205,0.629,0.997,0
183,0.0072,0.00093,0.458,0.997,1
184,0.00658,0.00186,0.677,0.998,2
185,0.00791,0.00208,0.652,0.998,0
186,0.00747,0.00107,0.481,0.997,1
187,0.00604,0.00109,0.54,0.973,1
188,0.00705,0.00137,0.561,0.988,2
189,0.00891,0.00243,0.664,0.998,0
190,0.00729,0.00147,0.571,0.996,2
191,0.00654,0.00163,0.636,0.993,2
192,0.00759,0.00175,0.612,0.991,2
193,0.0071,0.00225,0.716,0.998,0
194,0.00664,0.0014,0.585,0.996,2
195,0.00685,0.00203,0.694,0.997,0
196,0.00655,0.00184,0.675,0.997,2
197,0.00688,0.00154,0.602,0.997,2
198,0.00684,0.00171,0.637,0.997,2
199,0.00694,0.00202,0.687,0.998,0
200,0.00716,0.00159,0.6,0.992,2
201,0.00806,0.00174,0.591,0.994,0
202,0.00678,0.00171,0.64,0.998,2
203,0.00691,0.00194,0.675,0.997,2
204,0.00739,0.00115,0.502,0.991,1
205,0.00706,0.00143,0.573,0.995,2
206,0.00695,0.00192,0.669,0.998,2
207,0.00719,0.00179,0.636,0.995,2
208,0.0083,0.0019,0.61,0.994,0
209,0.00811,0.00204,0.639,0.999,0
210,0.00675,0.000994,0.489,0.958,1
211,0.00704,0.00185,0.652,0.997,2
212,0.00698,0.00199,0.679,0.999,0
213,0.00768,0.00196,0.644,0.996,0
214,0.00673,0.000979,0.486,0.996,1
215,0.00771,0.0021,0.665,0.996,0
216,0.00678,0.0014,0.578,0.997,2
217,0.00706,0.00107,0.496,0.996,1
218,0.00756,0.00225,0.695,0.998,0
219,0.00826,0.00247,0.696,0.998,0
220,0.00725,0.00212,0.688,0.998,0
221,0.00656,0.00138,0.585,0.994,2
222,0.0079,0.00101,0.454,0.997,1
223,0.00679,0.00202,0.695,0.998,2
224,0.00768,0.00216,0.675,0.995,0
225,0.00834,0.00227,0.665,0.998,0
226,0.00616,0.00183,0.695,0.996,2
227,0.00677,0.00105,0.501,0.994,1
228,0.00647,0.00123,0.556,0.993,2
229,0.00737,0.00249,0.739,0.997,0
230,0.0088,0.00218,0.633,0.999,0
231,0.00941,0.00202,0.59,0.998,0
232,0.00676,0.00106,0.504,0.988,1
233,0.0082,0.00201,0.63,0.998,0
234,0.00736,0.00206,0.673,0.999,0
235,0.00758,0.00103,0.469,0.992,1
236,0.00756,0.00191,0.639,0.999,0
237,0.00665,0.00198,0.695,0.994,2
238,0.00718,0.00223,0.709,0.997,0
239,0.00728,0.00226,0.71,0.996,0
240,0.00884,0.0022,0.635,0.996,0
241,0.00756,0.00242,0.72,0.999,0
242,0.0069,0.000941,0.47,0.997,1
243,0.00674,0.000833,0.448,0.993,1
244,0.00707,0.0018,0.643,0.997,2
245,0.00756,0.00221,0.688,0.998,0
246,0.00617,0.00164,0.657,0.996,2
247,0.00803,0.00216,0.66,0.998,0
248,0.00673,0.00163,0.627,0.994,2
249,0.0075,0.00255,0.742,0.999,0
250,0.00771,0.00097,0.452,0.996,1
251,0.00711,0.00191,0.66,0.995,2
252,0.00683,0.00106,0.502,0.994,1
253,0.00709,0.0022,0.71,0.997,0
254,0.00765,0.00207,0.662,0.996,0
255,0.00779,0.0024,0.707,0.998,0
256,0.00802,0.00188,0.617,0.993,0
257,0.00759,0.00201,0.655,0.998,0
258,0.00736,0.00209,0.678,0.997,0
259,0.00714,0.00166,0.613,0.987,2
260,0.00627,0.00164,0.651,0.996,2
261,0.00843,0.00214,0.642,0.998,0
262,0.00687,0.002,0.687,0.996,2
263,0.00627,0.00198,0.716,0.996,2
264,0.0079,0.00199,0.639,0.996,0
265,0.00728,0.0015,0.577,0.998,2
266,0.00745,0.00162,0.594,0.995,2
267,0.00696,0.000927,0.465,0.994,1
268,0.00701,0.00171,0.628,0.998,2
269,0.00768,0.00106,0.473,0.997,1
270,0.00781,0.00189,0.627,0.997,0
271,0.00688,0.00212,0.707,0.996,0
272,0.00705,0.0012,0.526,0.988,1
273,0.00767,0.00199,0.648,0.997,0
274,0.00725,0.000914,0.452,0.991,1
275,0.00625,0.00164,0.652,0.995,2
276,0.0076,0.000887,0.435,0.995,1
277,0.00644,0.00172,0.658,0.997,2
278,0.00735,0.00196,0.657,0.999,0
279,0.00738,0.00175,0.62,0.99,2
280,0.00628,0.00108,0.528,0.988,1
281,0.00697,0.00231,0.733,0.999,0
282,0.00677,0.00159,0.617,0.997,2
283,0.00686,0.00184,0.659,0.997,2
284,0.00724,0.00184,0.642,0.997,0
285,0.00818,0.00241,0.692,0.998,0
286,0.00698,0.000965,0.473,0.996,1
287,0.00783,0.00126,0.51,0.996,1
288,0.00673,0.000989,0.488,0.963,1
289,0.00655,0.00161,0.63,0.995,2
290,0.00792,0.0025,0.715,0.993,0
291,0.00668,0.00203,0.701,0.994,2
292,0.00736,0.000879,0.44,0.99,1
293,0.00662,0.00172,0.649,0.996,2
294,0.00645,0.00118,0.545,0.996,2
295,0.00692,0.00118,0.525,0.993,1
296,0.00698,0.000994,0.481,0.996,1
297,0.00766,0.00235,0.706,0.996,0
298,0.00696,0.00108,0.501,0.996,1
299,0.00736,0.000946,0.457,0.989,1
300,0.00667,0.00223,0.736,0.998,0
301,0.00918,0.00233,0.641,0.998,0
302,0.00663,0.00194,0.689,0.997,2
303,0.00651,0.00161,0.633,0.994,2
304,0.00738,0.00205,0.671,0.995,0
305,0.0075,0.00102,0.47,0.995,1
306,0.00759,0.00199,0.651,0.997,0
307,0.00794,0.00214,0.661,0.997,0
308,0.00837,0.00239,0.68,0.993,0
309,0.00699,0.00131,0.552,0.977,1
310,0.00783,0.00174,0.6,0.996,0
311,0.00796,0.00237,0.694,0.997,0
312,0.00723,0.00214,0.692,0.999,0
313,0.00778,0.0016,0.577,0.992,2
314,0.00674,0.0021,0.71,0.994,2
315,0.00652,0.00166,0.642,0.998,2
316,0.00646,0.000806,0.45,0.995,1
317,0.00783,0.00096,0.446,0.989,1
318,0.00784,0.00211,0.66,0.996,0
319,0.00662,0.00166,0.637,0.996,2
320,0.00805,0.00254,0.716,0.999,0
321,0.00724,0.00229,0.716,0.995,0
322,0.00907,0.00204,0.604,0.997,0
323,0.00788,0.00214,0.664,0.999,0
324,0.00712,0.00213,0.697,0.996,0
325,0.00737,0.00167,0.606,0.998,2
326,0.0068,0.00196,0.684,0.994,2
327,0.00832,0.00261,0.714,0.998,0
328,0.00691,0.000934,0.468,0.989,1
329,0.00746,0.0011,0.488,0.996,1
330,0.00648,0.00106,0.516,0.993,1
331,0.00757,0.00189,0.635,0.998,0
332,0.00688,0.000892,0.458,0.99,1
333,0.00753,0.00108,0.481,0.996,1
334,0.00678,0.00167,0.632,0.996,2
335,0.00764,0.00176,0.611,0.997,0
336,0.00706,0.00183,0.648,0.996,2
337,0.00674,0.00142,0.585,0.996,2
338,0.00708,0.00201,0.678,0.999,0
339,0.00651,0.00133,0.575,0.993,2
340,0.00747,0.00193,0.648,0.998,0
341,0.00802,0.00247,0.707,0.998,0
342,0.0082,0.00101,0.446,0.993,1
343,0.00693,0.00194,0.673,0.996,2
344,0.00878,0.00188,0.589,0.997,0
345,0.00657,0.000957,0.486,0.998,1
346,0.00843,0.00188,0.601,0.995,0
347,0.00763,0.0022,0.684,0.996,0
348,0.00709,0.0017,0.624,0.995,2
349,0.0073,0.00184,0.639,0.998,0
350,0.00628,0.00167,0.657,0.986,2
351,0.00808,0.00212,0.653,0.998,0
352,0.00804,0.00211,0.652,0.996,0
353,0.00728,0.00201,0.67,0.996,0
354,0.00675,0.00163,0.626,0.988,2
355,0.00713,0.00119,0.521,0.991,1
356,0.00633,0.0014,0.599,0.995,2
357,0.0073,0.00193,0.654,0.997,0
358,0.00853,0.00218,0.644,0.997,0
359,0.00689,0.00186,0.661,0.993,2
360,0.00806,0.00216,0.659,0.997,0
361,0.00693,0.000968,0.476,0.992,1
362,0.00767,0.00193,0.638,0.997,0
363,0.00713,0.00105,0.489,0.994,1
364,0.00699,0.00198,0.679,0.997,0
365,0.00723,0.00208,0.684,0.997,0
366,0.00828,0.00215,0.649,0.998,0
367,0.00655,0.00112,0.526,0.995,1
368,0.00706,0.000989,0.477,0.994,1
369,0.00865,0.0021,0.628,0.998,0
370,0.00787,0.00234,0.695,0.996,0
371,0.00801,0.00214,0.658,0.998,0
372,0.00774,0.00212,0.666,0.999,0
373,0.00661,0.00167,0.641,0.995,2
374,0.00721,0.00193,0.658,0.998,0
375,0.00754,0.00217,0.682,0.999,0
376,0.00935,0.00293,0.712,0.999,0
377,0.00621,0.000927,0.492,0.993,1
378,0.00718,0.00204,0.679,0.997,0
379,0.00688,0.0011,0.508,0.992,1
380,0.00698,0.00097,0.475,0.992,1
381,0.00692,0.0017,0.631,0.998,2
382,0.00705,0.00207,0.689,0.997,0
383,0.00748,0.00229,0.705,0.996,0
384,0.00716,0.00119,0.52,0.989,1
385,0.00781,0.00229,0.69,0.998,0
386,0.00651,0.000952,0.487,0.991,1
387,0.00689,0.00185,0.66,0.995,2
388,0.00705,0.0022,0.711,0.998,0
389,0.00825,0.00262,0.718,1.0,0
390,0.0072,0.00116,0.511,0.996,1
391,0.00672,0.00213,0.718,0.998,0
392,0.0071,0.00206,0.686,0.997,0
393,0.00916,0.00212,0.612,0.998,0
394,0.00775,0.00187,0.626,0.988,0
395,0.00818,0.00199,0.628,0.998,0
396,0.00827,0.00196,0.62,0.999,0
397,0.00785,0.00227,0.685,0.996,0
398,0.00686,0.00146,0.588,0.995,2
399,0.00713,0.002,0.675,0.998,0
400,0.00655,0.00125,0.557,0.994,2
401,0.00743,0.001,0.467,0.996,1
402,0.00773,0.00224,0.686,0.999,0
403,0.0067,0.000936,0.476,0.969,1
404,0.00693,0.00188,0.663,0.998,2
405,0.00885,0.00182,0.578,0.989,0
406,0.00799,0.00223,0.672,0.996,0
407,0.00713,0.00103,0.484,0.993,1
408,0.00679,0.0015,0.6,0.994,2
409,0.00716,0.00115,0.51,0.994,1
410,0.00758,0.00169,0.601,0.998,0
411,0.0076,0.00245,0.722,0.996,0
412,0.00719,0.000978,0.47,0.994,1
413,0.00783,0.00206,0.653,0.998,0
414,0.00615,0.00149,0.626,0.992,2
415,0.00649,0.00148,0.608,0.993,2
416,0.00659,0.00152,0.611,0.992,2
417,0.00678,0.00142,0.583,0.996,2
418,0.00762,0.00256,0.737,0.997,0
419,0.00796,0.00237,0.695,0.998,0
420,0.0066,0.00108,0.514,0.99,1
421,0.00695,0.0017,0.63,0.996,2
422,0.00763,0.00112,0.487,0.992,1
423,0.00666,0.00177,0.655,0.998,2
424,0.00814,0.0023,0.677,0.997,0
425,0.00729,0.00191,0.652,0.993,0
426,0.00713,0.000967,0.469,0.994,1
427,0.00699,0.000983,0.477,0.995,1
428,0.00933,0.00195,0.582,0.997,0
429,0.00644,0.00203,0.714,0.996,2
430,0.00744,0.00125,0.522,0.993,1
431,0.00774,0.00113,0.486,0.992,1
432,0.0076,0.00188,0.633,0.996,0
433,0.00715,0.00211,0.692,0.998,0
434,0.00724,0.00159,0.596,0.997,2
435,0.00645,0.00189,0.689,0.993,2
436,0.00751,0.00238,0.717,0.998,0
437,0.00906,0.00234,0.646,0.995,0
438,0.00715,0.00217,0.701,0.998,0
439,0.00709,0.00162,0.609,0.998,2
440,0.00746,0.00236,0.717,0.998,0
441,0.00692,0.00204,0.691,0.996,0
442,0.00742,0.00261,0.756,0.997,0
443,0.00909,0.00251,0.67,0.999,0
444,0.00712,0.00244,0.746,0.998,0
445,0.0076,0.00232,0.703,0.998,0
446,0.00765,0.00174,0.607,0.996,0
447,0.00698,0.00108,0.5,0.951,1
448,0.00849,0.00244,0.683,0.997,0
449,0.00688,0.00164,0.621,0.998,2
450,0.00767,0.00234,0.703,0.994,0
451,0.00659,0.00191,0.685,0.995,2
452,0.00683,0.00151,0.599,0.992,2
453,0.00731,0.00214,0.688,0.997,0
454,0.00732,0.00231,0.715,0.998,0
455,0.00657,0.0015,0.609,0.996,2
456,0.00691,0.00175,0.64,0.992,2
457,0.00863,0.00263,0.703,0.997,0
458,0.00733,0.00205,0.674,0.998,0
459,0.00676,0.00171,0.64,0.997,2
460,0.00687,0.0021,0.705,0.996,0
461,0.00813,0.00238,0.689,0.998,0
462,0.00643,0.00146,0.606,0.998,2
463,0.00644,0.00191,0.694,0.998,2
464,0.0077,0.00203,0.653,0.998,0
465,0.00626,0.00165,0.653,0.997,2
466,0.00641,0.00178,0.671,0.999,2
467,0.00724,0.002,0.668,0.998,0
468,0.0069,0.00192,0.672,0.996,2
469,0.00819,0.00235,0.683,0.996,0
470,0.00754,0.00108,0.483,0.995,1
471,0.00662,0.00176,0.656,0.992,2
472,0.007,0.00233,0.734,0.998,0
473,0.0081,0.00211,0.651,0.997,0
474,0.00803,0.00219,0.664,0.999,0
475,0.00762,0.00241,0.717,0.997,0
476,0.00812,0.00215,0.655,0.997,0
477,0.00647,0.00223,0.747,0.989,2
478,0.00663,0.00159,0.625,0.998,2
479,0.00721,0.00208,0.684,0.997,0
480,0.00684,0.000839,0.446,0.995,1
481,0.00758,0.000938,0.448,0.997,1
482,0.00646,0.00174,0.661,0.995,2
483,0.00682,0.00177,0.649,0.993,2
484,0.00715,0.00147,0.578,0.996,2
485,0.00762,0.00247,0.724,0.998,0
486,0.00695,0.00172,0.634,0.995,2
487,0.00674,0.00106,0.505,0.995,1
488,0.00676,0.002,0.692,0.996,2
489,0.00708,0.00296,0.823,0.996,0
490,0.00782,0.00218,0.672,0.997,0
491,0.00683,0.00166,0.628,0.998,2
492,0.00678,0.0019,0.675,0.995,2
493,0.00722,0.00184,0.643,0.996,0
494,0.00719,0.00189,0.652,0.997,0
495,0.00667,0.00168,0.639,0.996,2
496,0.00915,0.00281,0.705,0.998,0
497,0.00869,0.00179,0.578,0.995,0
498,0.00732,0.00214,0.689,0.998,0
499,0.00786,0.00247,0.714,0.996,0
500,0.00722,0.00187,0.648,0.997,0
501,0.00869,0.00213,0.631,0.996,0
502,0.00652,0.000934,0.482,0.994,1
503,0.00667,0.000923,0.474,0.992,1
504,0.00679,0.00184,0.662,0.996,2
505,0.0083,0.00225,0.663,0.998,0
506,0.0083,0.00242,0.687,0.999,0
507,0.00851,0.00215,0.64,0.997,0
508,0.00704,0.00183,0.65,0.997,2
509,0.0064,0.00139,0.593,0.997,2
510,0.00801,0.00211,0.654,0.998,0
511,0.00738,0.00112,0.496,0.99,1
512,0.0065,0.00165,0.642,0.993,2
513,0.0081,0.00239,0.691,0.997,0
514,0.00693,0.00174,0.638,0.998,2
515,0.00645,0.000912,0.479,0.993,1
516,0.00713,0.000998,0.476,0.991,1
517,0.00788,0.000896,0.429,0.995,1
518,0.00691,0.00172,0.635,0.997,2
519,0.00638,0.00105,0.517,0.994,1
520,0.00631,0.00109,0.53,0.968,1
521,0.00684,0.00175,0.645,0.995,2
522,0.00664,0.00171,0.647,0.997,2
523,0.00741,0.0025,0.74,0.996,0
524,0.00841,0.00182,0.592,0.998,0
525,0.00637,0.0015,0.618,0.996,2
526,0.00751,0.00123,0.516,0.993,1
527,0.00651,0.00189,0.686,0.995,2
528,0.00698,0.000955,0.471,0.989,1
529,0.00797,0.00212,0.656,0.998,0
530,0.00602,0.00147,0.63,0.993,2
531,0.00702,0.000992,0.478,0.997,1
532,0.00864,0.00257,0.695,0.997,0
533,0.0088,0.00245,0.671,0.996,0
534,0.00677,0.00158,0.614,0.99,2
535,0.00723,0.00175,0.627,0.999,0
536,0.00677,0.00219,0.725,0.997,0
537,0.00682,0.00175,0.646,0.994,2
538,0.00727,0.00202,0.671,0.998,0
539,0.00757,0.00241,0.719,0.998,0
540,0.00635,0.00114,0.54,0.979,1
541,0.00647,0.00141,0.595,0.997,2
542,0.00745,0.002,0.659,0.997,0
543,0.00802,0.00211,0.652,0.998,0
544,0.00793,0.00231,0.687,0.998,0
545,0.00663,0.00199,0.697,0.989,2
546,0.0066,0.00141,0.588,0.996,2
547,0.00767,0.00177,0.611,0.996,0
548,0.00689,0.00197,0.681,0.991,2
549,0.00842,0.00219,0.649,0.996,0
550,0.00663,0.00145,0.595,0.995,2
551,0.00646,0.00175,0.662,0.997,2
552,0.00865,0.00217,0.638,0.997,0
553,0.00657,0.00186,0.677,0.997,2
554,0.00674,0.00228,0.741,0.998,0
555,0.00687,0.00174,0.641,0.996,2
556,0.00709,0.00214,0.699,0.996,0
557,0.0076,0.00232,0.704,0.996,0
558,0.00748,0.000954,0.455,0.997,1
559,0.0074,0.000941,0.454,0.995,1
560,0.00863,0.00242,0.674,0.996,0
561,0.00792,0.00168,0.586,0.997,0
562,0.00708,0.00181,0.644,0.997,2
563,0.00779,0.00215,0.668,0.998,0
564,0.00675,0.00198,0.69,0.997,2
565,0.0074,0.000994,0.467,0.992,1
566,0.00817,0.00228,0.672,0.996,0
567,0.00695,0.00218,0.714,0.997,0
568,0.00649,0.00179,0.669,0.998,2
569,0.00693,0.000977,0.478,0.995,1
570,0.00761,0.002,0.653,0.998,0
571,0.00725,0.002,0.668,0.996,0
572,0.00626,0.00138,0.597,0.998,2
573,0.00851,0.00198,0.614,0.998,0
574,0.00797,0.00233,0.689,0.998,0
575,0.00669,0.00108,0.511,0.981,1
576,0.0065,0.00143,0.597,0.988,2
577,0.00685,0.00103,0.493,0.991,1
578,0.00691,0.0016,0.613,0.996,2
579,0.00621,0.00112,0.541,0.976,1
580,0.00701,0.000847,0.442,0.994,1
581,0.00677,0.000765,0.428,0.998,1
582,0.00701,0.00195,0.672,0.994,2
583,0.00675,0.00107,0.507,0.991,1
584,0.0065,0.00164,0.639,0.994,2
585,0.00811,0.00239,0.691,0.999,0
586,0.00734,0.00178,0.627,0.998,0
587,0.0079,0.00233,0.692,0.997,0
588,0.00766,0.00107,0.477,0.997,1
589,0.00651,0.00195,0.697,0.998,2
590,0.00676,0.00171,0.641,0.994,2
591,0.00837,0.00233,0.672,0.994,0
592,0.00678,0.00089,0.461,0.995,1
593,0.00732,0.00212,0.685,0.996,0
594,0.00839,0.00121,0.483,0.996,1
595,0.00699,0.00177,0.641,0.994,2
596,0.00643,0.00153,0.62,0.998,2
597,0.00662,0.0018,0.663,0.997,2
598,0.0071,0.00222,0.711,0.999,0
599,0.00807,0.000987,0.445,0.988,1
600,0.00828,0.00231,0.672,0.998,0
601,0.00669,0.00189,0.676,0.998,2
602,0.00801,0.00257,0.721,0.999,0
603,0.00647,0.00102,0.505,0.991,1
604,0.00638,0.00168,0.654,0.996,2
605,0.00653,0.00161,0.632,0.997,2
606,0.0065,0.00101,0.501,0.99,1
607,0.0081,0.00255,0.715,0.999,0
608,0.00795,0.00208,0.651,0.998,0
609,0.00603,0.00155,0.644,0.997,2
610,0.00721,0.00213,0.692,0.998,0
611,0.00669,0.00162,0.626,0.997,2
612,0.00703,0.0018,0.644,0.995,2
613,0.00675,0.00204,0.7,0.998,2
614,0.00655,0.000938,0.482,0.99,1
615,0.00742,0.000975,0.461,0.996,1
616,0.00675,0.00146,0.591,0.998,2
617,0.00833,0.0014,0.523,0.988,1
618,0.00689,0.000945,0.472,0.988,1
619,0.00662,0.00144,0.594,0.997,2
620,0.00655,0.000962,0.488,0.997,1
621,0.00772,0.00241,0.711,0.999,0
622,0.00685,0.00166,0.626,0.997,2
623,0.00727,0.00115,0.506,0.995,1
624,0.00794,0.00186,0.616,0.999,0
625,0.00729,0.00189,0.649,0.993,0
626,0.00626,0.00163,0.649,0.996,2
627,0.00678,0.00145,0.589,0.996,2
628,0.00804,0.00267,0.733,0.998,0
629,0.00729,0.00215,0.692,0.997,0
630,0.00834,0.00177,0.587,0.997,0
631,0.00683,0.00169,0.633,0.993,2
632,0.00751,0.00236,0.714,0.996,0
633,0.00755,0.0023,0.703,0.998,0
